indx,trigger1,trigger2,trigger3,context1,context2,context3,function1,function2,function3,content1,content2,content3,content4,time_start,time_end,duration,recur,singers_n,singers_age1,singers_age2,shape_type,appear_paint,appear_adorn,appear_cloth,appear_mask,appear_obj,restrict_sex,restrict_marry,restrict_grp1,restrict_grp2,audience_n,audience_age1,audience_age2,audience_sex,audience_marry,audience_grp1,audience_grp2,instrument_type1,instrument_type2,instrument_type3
2087,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,Communication,Traditional history,"Status, role, and prestige",Traditional history,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,Mourners,.,.,.,.,.,.,.,.,.,.,.
2088,"Food processing (includes food preparation, storage, and preservation)",Annual cycle,.,.,.,.,Intra-community relations,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,War,.,.,.,.,.,.,.,.,Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2089,Marriage,.,.,.,.,.,Socialization and education,.,.,Marriage,Gender roles and issues,.,.,Evening (1900 to 2200),Evening (1900 to 2200),1-10 hours,No recurrence,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),Adult,.,Both sexes,Both married & unmarried,Adults,.,.,.,.
2090,Marriage,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Marriage,.,.,Socialization and education,.,.,Gender roles and issues,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Female,.,Other group (incl. proper names),.,.,.,.,.,.,.,.,Idiophone,.,.
2091,.,.,.,.,.,.,"Status, role, and prestige",.,.,"Status, role, and prestige","Kin groups (clans, tribes, nation)",.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2092,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Intra-community relations,Buying and selling,.,.,.,Accumulation of wealth,"Status, role, and prestige",.,"Status, role, and prestige",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2093,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Drives and emotions,Buying and selling,.,"Status, role, and prestige",.,.,"Status, role, and prestige",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2094,.,.,.,Drives and emotions,Buying and selling,.,"Status, role, and prestige",.,.,"Status, role, and prestige",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2095,.,.,.,Buying and selling,Interpersonal relations (includes love),.,Accumulation of wealth,"Status, role, and prestige",.,"Status, role, and prestige",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2096,Intra-community relations,.,.,.,.,.,"Status, role, and prestige",Accumulation of wealth,.,"Status, role, and prestige",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,Membranophone,.,.
2097,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2098,.,.,.,.,.,.,Drives and emotions,.,.,Traditional history,Socialization and education,Laws & Rules,Accumulation of wealth,Night (2200 to 0400),Night (2200 to 0400),.,.,Solo singer,Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2099,.,.,.,.,.,.,Drives and emotions,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Solo singer,Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2100,.,.,.,.,.,.,Drives and emotions,.,.,Extramarital sex relations (adultery),.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Solo singer,Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2101,Socialization and education,.,.,Dance,Games,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,Female,Unmarried,"Children (general, includes ""boys"" or ""girls"")",.,.,.,.
2102,Socialization and education,.,.,Socialization and education,.,.,Socialization and education,.,.,Socialization and education,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2103,.,.,.,.,.,.,Socialization and education,.,.,Infancy and childhood,Norms,Buying and selling,"Status, role, and prestige",.,.,.,.,Solo singer,Child,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,Both sexes,Unmarried,"Children (general, includes ""boys"" or ""girls"")",.,.,.,.
2104,Socialization and education,.,.,Socialization and education,Humor,.,Socialization and education,Drives and emotions,.,Accumulation of wealth,.,.,.,.,.,.,.,Solo singer,Child,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,Both sexes,Unmarried,"Children (general, includes ""boys"" or ""girls"")",.,.,.,.
2105,.,.,.,.,.,.,.,.,.,Socialization and education,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2106,.,.,.,Games,.,.,.,.,.,Socialization and education,.,.,.,.,.,.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2107,.,.,.,Marriage,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,"Status, role, and prestige",.,.,.,"Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",.,.,Multiple singers (number unknown),.,.,Circle,.,.,.,.,.,Female,.,Other group (incl. proper names),.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,Adults,"Community (mixed-gender groups, includes ""village"")",Idiophone,.,.
2108,Intra-community relations,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Dance,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2109,Food consumption,Dance,.,Dance,Drives and emotions,.,Dance,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2110,Drives and emotions,Marriage,Food consumption,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Fire,.,Interpersonal relations (includes love),Marriage,.,Marriage,Interpersonal relations (includes love),.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,Male,Unmarried,Adults,.,Multiple singers (number unknown),All ages,.,Female,Unmarried,Adults,"Community (mixed-gender groups, includes ""village"")",.,.,.
2111,Building and construction,.,.,Dance,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Gift giving,"Death (burials, funerals, mourning)",Interpersonal relations (includes love),Buying and selling,Marriage,"Death (burials, funerals, mourning)",Ingroup antagonisms,.,.,.,.,Solo singer,Adult,.,Circle,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2112,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Dance,.,Dance,Drives and emotions,.,Communication,Marriage,.,Communication,Conversation,Marriage,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),Adult,.,Circle,.,.,.,.,.,.,.,.,.,.,.,.,Female,.,Adults,.,.,.,.
2113,Dwellings,.,.,Dance,Interpersonal relations (includes love),.,Drives and emotions,Marriage,.,.,.,.,.,Afternoon (1400 to 1700),Afternoon (1400 to 1700),.,.,Multiple singers (number unknown),.,.,.,Head/face & shoulders,Head/face & shoulders,Butt & groin,.,1,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2114,Food consumption,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2115,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Interpersonal relations (includes love),.,Dance,Fire,.,Marriage,.,.,Interpersonal relations (includes love),Marriage,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Solo singer,Adolescent/young adult,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2116,Food consumption,.,.,Dance,Food consumption,.,Communication,Marriage,.,Communication,Conversation,Marriage,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2117,Food consumption,.,.,Dance,Interpersonal relations (includes love),.,Communication,Interpersonal relations (includes love),Intra-community relations,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),1-10 hours,No recurrence,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2118,Location,.,.,Dance,.,.,.,.,.,.,.,.,.,Early evening (1700 to 1900) (includes sunset),Early evening (1700 to 1900) (includes sunset),1-10 hours,No recurrence,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Male,.,.,.,Multiple singers (number unknown),All ages,.,Both sexes,Both married & unmarried,"Community (mixed-gender groups, includes ""village"")",.,.,.,.
2119,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Communication,Dance,Travel and transportation,Inter-community relations,.,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2120,Gift giving,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Communication,Dance,Travel and transportation,Inter-community relations,.,.,.,.,.,.,.,Night (2200 to 0400),Night (2200 to 0400),.,.,Multiple singers (number unknown),.,.,Circle,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2121,.,.,.,.,.,.,.,.,.,.,.,.,.,Morning (0700 to 1000),Morning (0700 to 1000),<10 min,No recurrence,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2122,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Missions (missionaries),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2123,Games,.,.,Games,Drives and emotions,.,Drives and emotions,.,.,Ideas about nature and people,Weapons,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2124,Games,.,.,Games,Drives and emotions,.,Drives and emotions,.,.,Agriculture,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2125,Games,.,.,Games,Drives and emotions,.,Drives and emotions,.,.,Ideas about nature and people,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2126,Games,.,.,Games,Drives and emotions,.,Drives and emotions,.,.,Drives and emotions,Ideas about nature and people,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2127,Games,.,.,Games,Drives and emotions,.,Drives and emotions,.,.,Ideas about nature and people,Human Biology,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2128,Games,.,.,Games,Drives and emotions,.,Drives and emotions,.,.,Ideas about nature and people,Fauna,Weapons,.,.,.,.,.,Multiple singers (number unknown),Adult,.,Other shape,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2129,Hunting and trapping,.,.,Hunting and trapping,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",Drives and emotions,"Status, role, and prestige",Drives and emotions,.,Hunting and trapping,Fauna,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2130,Hunting and trapping,.,.,Hunting and trapping,Drives and emotions,.,Drives and emotions,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,Hunting and trapping,Ideas about nature and people,Fauna,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2132,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2133,.,.,.,Dance,.,.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),All ages,.,.,.,.,.,.,.,.
2134,.,.,.,.,.,.,.,.,.,Climate,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2135,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2136,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2137,.,.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Fauna,"Sickness, medical care, and shamans",.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,Patients/Sick People,.,.,.,.
2138,.,.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2139,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Climate,Fauna,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2140,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,Head/face & shoulders,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2141,.,.,.,Dance,"Sickness, medical care, and shamans",.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,.,.,.,"Early morning (0400 to 0700) (includes daybreak, dawn)","Early morning (0400 to 0700) (includes daybreak, dawn)",>10 hours,No recurrence,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2142,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,2-5 listeners,All ages,.,Male,.,Special: Priests/religious figures,Adults,.,.,.
2143,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,Fauna,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2144,.,.,.,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,"Singers/musicians (e.g., bards, minstrels)",.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.
2145,Sorcery (creating sickness or bad luck),"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)","Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2146,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2147,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans",Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2148,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2149,.,.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Fauna,Ideas about nature and people,Traditional history,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2150,.,.,.,Drives and emotions,Socialization and education,.,Socialization and education,"Sickness, medical care, and shamans",.,.,.,.,.,Evening (1900 to 2200),Evening (1900 to 2200),.,.,Multiple singers (number unknown),Child,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2151,.,.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Adornment,Fauna,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,Patients/Sick People,.,.,.,.
2152,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2153,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans",.,.,Fauna,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2154,.,.,.,"Sickness, medical care, and shamans",.,.,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2155,.,.,.,"Sickness, medical care, and shamans","Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,"Sickness, medical care, and shamans",.,.,Fauna,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,Male,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2156,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,.,.,.,.,.,.,.,.,.,1-10 hours,No recurrence,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2157,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",Drives and emotions,.,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,.,.,Mourners,Leaders,Solo listener,All ages,.,.,.,.,.,.,.,.
2158,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,Multiple singers (number unknown),Adult,.,.,.,.,.,.,.,Female,.,Mourners,.,.,.,.,.,.,.,.,.,.,.
2159,.,.,.,.,.,.,.,.,.,"Death (burials, funerals, mourning)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2160,.,.,.,.,.,.,.,.,.,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2161,Fauna,.,.,.,.,.,Communication,.,.,Fauna,Travel and transportation,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2162,.,.,.,.,.,.,.,.,.,"Sickness, medical care, and shamans",Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2163,.,.,.,.,.,.,.,.,.,"Processing of basic materials (such as bone, horn, shell, woodworking ceramic, metallurgy)",Recreational and non-therapeutic drugs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2164,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2165,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Fauna,Ideas about nature and people,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2166,.,.,.,Games,.,.,Communication,.,.,Infancy and childhood,Games,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2167,.,.,.,.,.,.,.,.,.,Ideas about nature and people,Tools and appliances (not weapons),Flora,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,Other group (incl. proper names),.,.,.
2168,.,.,.,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Ideas about nature and people,"Religious beliefs (cosmology, spirits, gods, sacred objects and places, mythology)",Fauna,"Sickness, medical care, and shamans",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2169,Offenses and sanctions,.,.,Offenses and sanctions,.,.,Communication,.,.,Ideas about nature and people,Offenses and sanctions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2170,Fauna,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2171,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Religious people and healers (e.g., shamans, priests, doctors)",.,.,.,.,.,.,.,.,.,.,.
2172,.,.,.,.,.,.,.,.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2173,.,.,.,.,.,.,"Religious practices (religious experiences, prayers, sacrifices, purification, divination)",.,.,Fauna,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2174,Puberty and initiation,Interpersonal relations (includes love),.,Interpersonal relations (includes love),.,.,Communication,Drives and emotions,Ingroup antagonisms,Sex (not extramarital),Humor,Ingroup antagonisms,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2175,Interpersonal relations (includes love),.,.,.,.,.,Communication,.,.,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,Adolescent/young adult,.,.,.,.,.,.,.,Female,Unmarried,.,.,.,.,.,.,.,.,.,.,.,.
2176,.,.,.,Interpersonal relations (includes love),.,.,Interpersonal relations (includes love),.,.,Norms,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2177,Interpersonal relations (includes love),.,.,"Death (burials, funerals, mourning)",Interpersonal relations (includes love),.,.,.,.,Drives and emotions,Interpersonal relations (includes love),.,.,.,.,.,.,Multiple singers (number unknown),.,.,.,.,.,.,.,.,Female,.,Other group (incl. proper names),.,.,.,.,.,.,.,.,.,.,.
2178,.,.,.,.,.,.,Interpersonal relations (includes love),.,.,Drives and emotions,Sleeping,Sex (not extramarital),.,.,.,.,.,.,.,.,.,.,.,.,.,.,Male,.,.,.,.,.,.,.,.,.,.,.,.,.
2179,Interpersonal relations (includes love),.,.,.,.,.,Communication,.,.,Ideas about nature and people,Personality traits,Fauna,.,.,.,.,.,Solo singer,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2180,Puberty and initiation,.,.,Puberty and initiation,.,.,Communication,.,.,Interpersonal relations (includes love),Puberty and initiation,.,.,.,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,Both sexes,.,.,.,Multiple singers (number unknown),Adolescent/young adult,.,.,.,.,.,.,.,.
2181,Drives and emotions,.,.,.,.,.,.,.,.,Interpersonal relations (includes love),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2182,Puberty and initiation,.,.,Marriage,Interpersonal relations (includes love),.,Interpersonal relations (includes love),Marriage,Drives and emotions,Gender roles and issues,Marriage,Interpersonal relations (includes love),Drives and emotions,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
