"","indx","cite_text_manual","cite_url_manual","cite_page_manual","cite_text","cite_url","cite_pages","cite_byline","cite_analyst","cite_language","cite_title","cite_docid","cite_author","cite_doctype","cite_docnum","cite_location","cite_date","cite_fielddate","cite_evaluation","cite_publisher","pubyear","pubnonenglish","cite_author.1","author_female","author_age","authorfield_science","authorfield_ethno","authorfield_linguistic","authorfield_education","authorfield_art","authorfield_medicine","authorfield_business","authorfield_religion","authorfield_govt","authorfield_socialscience","authorfield_travel","authorfield_local"
"2415",2415,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","421, 422","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","421, 422","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2416",2416,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","422","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","422","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2417",2417,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","445","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","445","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2418",2418,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","446, 447","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","446, 447","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2419",2419,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","449","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","449","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2420",2420,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","451, 452","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","451, 452","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2421",2421,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","452, 453","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","452, 453","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2422",2422,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","454","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","454","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2423",2423,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","487","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","487","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2424",2424,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","577","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","577","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2425",2425,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","612, 613","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","612, 613","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2426",2426,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","613","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","613","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2427",2427,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","620","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","620","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2428",2428,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","622, 623","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","622, 623","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2429",2429,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","623","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","623","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2430",2430,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2431",2431,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2432",2432,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2433",2433,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","643","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2434",2434,"Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","650","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “Historical And Ethnological Survey Of The Cuna Indians.” Comparative Ethnographical Studies. Göteborg, Sweden: Göteborg Museum.","http://ehrafworldcultures.yale.edu/document?id=sb05-001","650","Erland Nordenskiöld, in collaboration with the Cuna Indian Ruben Pérez Kantule; arranged and edited...by Henry Wassén; preface by Walter Kaudern; editorial chapter by Henry Wassén","Leila Small; 1951; 1966 ; some changes made in 1998 (MMM)","English, Spanish, and Cuna","An historical and ethnological survey of the Cuna Indians","sb05-001","Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908","monograph",1,"San Blas, Panama","historical period to 1927","1927","ethnologist","Göteborg, Sweden",1938,1,"Nordenskiöld, Erland freiherre, 1877-1932 Pérez Kantule, Ruben, 1907 Wassén, Henry, 1908",0,40.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0
"2435",2435,"Nordenskiöld, freiherre, Erland. 1930. “Cuna Indian Religion.” Proceedings Of The International Congress Of Americanists. New York: [s.n.].","http://ehrafworldcultures.yale.edu/document?id=sb05-008","674","Nordenskiöld, freiherre, Erland. 1930. “Cuna Indian Religion.” Proceedings Of The International Congress Of Americanists. New York: [s.n.].","http://ehrafworldcultures.yale.edu/document?id=sb05-008","674","Erland Nordenskiöld","KS; 1950-1956","English","Cuna Indian religion","sb05-008","Nordenskiöld, Erland freiherre, 1877-1932","part(s) of a monograph",8,"Panama","1927","1927","ethnologist","Proceedings of the International Congress of Americanists -- Vol. 23 New York",1930,0,"Nordenskiöld, Erland freiherre, 1877-1932",0,53,0,1,0,0,0,0,0,0,0,0,0,0
"2436",2436,"Nordenskiöld, freiherre, Erland. 1930. “Cuna Indian Religion.” Proceedings Of The International Congress Of Americanists. New York: [s.n.].","http://ehrafworldcultures.yale.edu/document?id=sb05-008","675a","Nordenskiöld, freiherre, Erland. 1930. “Cuna Indian Religion.” Proceedings Of The International Congress Of Americanists. New York: [s.n.].","http://ehrafworldcultures.yale.edu/document?id=sb05-008","675a","Erland Nordenskiöld","KS; 1950-1956","English","Cuna Indian religion","sb05-008","Nordenskiöld, Erland freiherre, 1877-1932","part(s) of a monograph",8,"Panama","1927","1927","ethnologist","Proceedings of the International Congress of Americanists -- Vol. 23 New York",1930,0,"Nordenskiöld, Erland freiherre, 1877-1932",0,53,0,1,0,0,0,0,0,0,0,0,0,0
"2437",2437,"Nordenskiöld, freiherre, Erland, Cuna Indian chief Nele, and G. M. E. Leijer. 1930. “Picture-Writings And Other Documents By Néle, Charles Slater, Charlie Nelson And Other Cuna Indians.” Comparative Ethnological Studies. Göteborg: [Elanders boktryckeri aktiebolag].","http://ehrafworldcultures.yale.edu/document?id=sb05-029","62","Nordenskiöld, freiherre, Erland, Cuna Indian chief Nele, and G. M. E. Leijer. 1930. “Picture-Writings And Other Documents By Néle, Charles Slater, Charlie Nelson And Other Cuna Indians.” Comparative Ethnological Studies. Göteborg: [Elanders boktryckeri aktiebolag].","http://ehrafworldcultures.yale.edu/document?id=sb05-029","62","Erland Nordenskiöld; [translated by G. M. E. Leijer]","LSS; 1950-1956","English translation","Picture-writings and other documents by Néle, Charles Slater, Charlie Nelson and other Cuna Indians","sb05-029","Nordenskiöld, Erland freiherre, 1877-1932 Nele, Cuna Indian chief Leijer, G. M. E.","part(s) of a monograph",29,"Panama","1927","1927","none","Göteborg",1930,1,"Nordenskiöld, Erland freiherre, 1877-1932 Nele, Cuna Indian chief Leijer, G. M. E.",0,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
