indx,ocm,cite_text,cite_url,cite_pages,cite_byline,cite_analyst,cite_language,cite_title,cite_docid,cite_author,cite_doctype,cite_docnum,cite_location,cite_date,cite_fielddate,cite_evaluation,cite_publisher
2746,"SPECIAL GARMENTS (292); UNIFORM AND ACCOUTERMENT (714); MUSICAL INSTRUMENTS (534); ORATORY (537); WAR VETERANS (729); STATUS, ROLE, AND PRESTIGE (554)","Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,"18, 19",J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2747,REPRESENTATIVE ART (532); WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,156,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2748,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,249,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2749,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,248,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2750,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,248,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2751,ORATORY (537),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,"249, 250",J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2752,ORATORY (537),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,250,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2753,ORATORY (537),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,250,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2754,MOURNING (765),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,251,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2755,MOURNING (765),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,251,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2756,MOURNING (765),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,250,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2757,MOURNING (765),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,251,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2758,SEXUAL STIMULATION (832); LITERARY TEXTS (539),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,"251, 252",J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2759,SEXUAL STIMULATION (832); LITERARY TEXTS (539),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,252,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2760,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,252,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2761,SEXUAL STIMULATION (832); LITERARY TEXTS (539),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,253,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2762,SEXUAL STIMULATION (832); LITERARY TEXTS (539),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,252,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2763,SEXUAL STIMULATION (832); LITERARY TEXTS (539),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,252,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2764,REVIEWS AND CRITIQUES (114),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,285,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2765,LITERARY TEXTS (539); WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,287,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2766,LITERARY TEXTS (539); WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,287,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2767,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,288,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2768,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,285,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2769,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,288,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2770,LITERARY TEXTS (539); WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,286,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2771,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,291,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2772,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,9,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2773,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,289,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2774,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,293,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2775,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,294,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2776,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,293,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2777,WRITING (212),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,290,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2778,WRITING (212); MEDICAL THERAPY (757),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,288,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2779,WRITING (212); ETHNOMETEOROLOGY (821),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,295,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2780,WRITING (212),,http://ehrafworldcultures.yale.edu/document?id=ng06-020,296,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2781,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,395,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2782,SEXUAL STIMULATION (832),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,396,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2783,SEXUAL STIMULATION (832),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,396,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2784,SEXUAL STIMULATION (832); WRITING (212); REPRESENTATIVE ART (532),"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,397,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2785,n/a,"Kohl, Johann Georg, and Lascelles Wraxall Sir. 1860. “Kitchi-Gami: Wanderings Round Lake Superior.” London: Chapman and Hall.",http://ehrafworldcultures.yale.edu/document?id=ng06-020,399,J. G. Kohl,John Beierle ; 1962,English,Kitchi-Gami,ng06-020,"Kohl, Johann Georg, 1808-1878 Wraxall, Frederick Charles Lascelles, Sir, 3d bart., 1828-1865. tr.",Monograph,20,Central Ojibwa,'traditional' to ca. 1850,1855,Traveler-5,London
2786,EXTERNAL RELATIONS (648); WARFARE (726); VERBAL ARTS (5310); EXTERNAL TRADE (439),"Schmalz, Peter S. 1991. “Ojibwa Of Southern Ontario.” Toronto: University of Toronto Press.",http://ehrafworldcultures.yale.edu/document?id=ng06-039,73,Peter S. Schmalz,John Beierle ; 1998,English,The Ojibwa of southern Ontario,ng06-039,"Schmalz, Peter S.",Monograph,39,Central Ojibwa,seventeenth century - 1990s,no date,Historian-4,Toronto ; Buffalo
2787,HUNTING AND TRAPPING (224); TEXTS (900); MYTHOLOGY (773); SPIRITS AND GODS (776); PRAYERS AND SACRIFICES (782),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,184,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2788,WRITING (212); TEXTS (900),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,185,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2789,HUNTING AND TRAPPING (224); SHAMANS AND PSYCHOTHERAPISTS (756); INTERLINEAR TRANSLATIONS (903); WRITING (212); ORGANIZED CEREMONIAL (796); VISUAL ARTS (5311),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,341,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2790,WRITING (212); VISUAL ARTS (5311); SHAMANS AND PSYCHOTHERAPISTS (756); INTERLINEAR TRANSLATIONS (903),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,346,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2791,HUNTING AND TRAPPING (224); INTERLINEAR TRANSLATIONS (903); SHAMANS AND PSYCHOTHERAPISTS (756); WRITING (212); VISUAL ARTS (5311),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,348,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2792,HUNTING AND TRAPPING (224); VISUAL ARTS (5311); WRITING (212); INTERLINEAR TRANSLATIONS (903),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,349,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2793,MYTHOLOGY (773); INTERLINEAR TRANSLATIONS (903); WRITING (212); VISUAL ARTS (5311),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,351,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2794,MYTHOLOGY (773); INTERLINEAR TRANSLATIONS (903); WRITING (212); VISUAL ARTS (5311),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,351,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
2795,HUNTING AND TRAPPING (224); INTERLINEAR TRANSLATIONS (903); WRITING (212); SPECIAL DEPOSITS (317); VISUAL ARTS (5311),"Tanner, John, and Edwin James. 1830. “Narrative Of The Captivity And Adventures Of John Tanner, (U.S. Interpreter At The Saut De Ste. Marie,): During Thirty Years Residence Among The Indians In The Interior Of North America.” New York: G. & C. & H. Carvill.",http://ehrafworldcultures.yale.edu/document?id=ng06-040,364,prepared for the press by Edwin James,John Beierle; 1998,English,"A narrative of the captivity and adventures of John Tanner, (U.S. interpreter at the Saut de Ste. Marie,)",ng06-040,"Tanner, John, 1780?-1847 James, Edwin, 1797-1861, ed.",Monograph,40,Central Ojibwa,1780s - ca. 1850,no date,Traveler-5,New York
