indx,singers_sex,singers_leader,singers_dance,audience_dance,religious,trance,ceremony,informal,appear,restrict,mimic,nowords,child_by,child_for,compose,improv,clap,stomp,instrument,cite_text_manual,cite_url_manual,cite_page_manual
2455,.,.,.,.,1,0,1,0,0,1,0,.,0,0,.,0,.,.,0,"Tice, Karin E. (Karin Elaine), Ian Skoggard, and John Beierle. 1999. “Culture Summary: Kuna.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=sb05-000,10
2456,.,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Tice, Karin E. (Karin Elaine), Ian Skoggard, and John Beierle. 1999. “Culture Summary: Kuna.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=sb05-000,10
2457,.,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Tice, Karin E. (Karin Elaine), Ian Skoggard, and John Beierle. 1999. “Culture Summary: Kuna.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=sb05-000,10
2458,.,.,.,.,1,0,1,.,0,0,0,.,0,0,.,0,.,.,0,"Tice, Karin E. (Karin Elaine), Ian Skoggard, and John Beierle. 1999. “Culture Summary: Kuna.” New Haven, Conn.: HRAF.",http://ehrafworldcultures.yale.edu/document?id=sb05-000,10
2459,.,.,0,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Wassén, Henry. 1949. “Contributions To Cuna Ethnography: Results Of An Expedition To Panama And Columbia In 1947.” Etnologiska Studier. Göteborg: Etnografiska Museet.",http://ehrafworldcultures.yale.edu/document?id=sb05-004,"46-54(c), 46-54(d)"
2460,Male,.,.,.,0,0,.,0,0,0,0,.,0,0,.,0,.,.,0,"Wassén, Henry. 1949. “Contributions To Cuna Ethnography: Results Of An Expedition To Panama And Columbia In 1947.” Etnologiska Studier. Göteborg: Etnografiska Museet.",http://ehrafworldcultures.yale.edu/document?id=sb05-004,46-54(d)
2461,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Wassén, Henry. 1949. “Contributions To Cuna Ethnography: Results Of An Expedition To Panama And Columbia In 1947.” Etnologiska Studier. Göteborg: Etnografiska Museet.",http://ehrafworldcultures.yale.edu/document?id=sb05-004,46-54(e)
2462,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,1,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,265
2463,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,1,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,265
2464,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,1,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,265
2465,.,.,.,.,0,0,.,.,0,0,0,Humming/neutral syllables,0,0,.,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,265
2466,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2467,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2468,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2469,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2470,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,1,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2471,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2472,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2473,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,1,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,266
2474,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2475,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2476,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2477,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2478,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2479,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2480,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2481,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2482,.,.,.,.,0,0,.,.,0,0,0,.,0,0,1,0,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2483,.,.,.,.,0,0,.,.,0,1,0,.,0,0,1,1,.,.,0,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,267
2484,.,.,.,.,0,0,0,0,0,0,0,.,0,0,.,0,.,.,0,"Masters, William Murray. 1953. “Rowanduz: A Kurdish Administrative And Mercantile Center.” [S.L.]: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=ma11-002,280
2485,Female,0,0,0,0,0,1,0,0,1,0,.,0,0,.,0,0,0,0,"Masters, William Murray. 1953. “Rowanduz: A Kurdish Administrative And Mercantile Center.” [S.L.]: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=ma11-002,281
2486,.,0,0,.,0,0,1,.,0,0,0,.,1,0,.,0,1,.,0,"Masters, William Murray. 1953. “Rowanduz: A Kurdish Administrative And Mercantile Center.” [S.L.]: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=ma11-002,306
2487,Male,0,.,.,0,0,1,.,0,1,0,.,0,0,.,1,.,.,1,"Masters, William Murray. 1953. “Rowanduz: A Kurdish Administrative And Mercantile Center.” [S.L.]: [s.n.].",http://ehrafworldcultures.yale.edu/document?id=ma11-002,306
2488,.,.,1,.,0,0,.,.,0,0,0,.,0,0,1,1,.,.,1,"Izady, Mehrdad R. 1992. “Kurds: A Concise Handbook.” Washington, D.C.: Crane Russak, Taylor & Francis International Publishers.",http://ehrafworldcultures.yale.edu/document?id=ma11-012,246
2489,Female,.,1,.,0,0,1,0,1,0,0,.,0,0,.,0,.,.,1,"Arno, Andrew. 1993. “World Of Talk On A Fijian Island: An Ethnography Of Law And Communication Causation.” Norwood, N.J.: Ablex Publishing Corporation.",http://ehrafworldcultures.yale.edu/document?id=oq06-011,"43, 44"
2490,Female,.,1,0,0,0,1,0,0,0,0,.,0,0,.,0,.,.,1,"Arno, Andrew. 1993. “World Of Talk On A Fijian Island: An Ethnography Of Law And Communication Causation.” Norwood, N.J.: Ablex Publishing Corporation.",http://ehrafworldcultures.yale.edu/document?id=oq06-011,43
2491,.,.,.,.,0,0,.,0,1,1,0,.,0,0,.,0,.,.,0,"Arno, Andrew. 1993. “World Of Talk On A Fijian Island: An Ethnography Of Law And Communication Causation.” Norwood, N.J.: Ablex Publishing Corporation.",http://ehrafworldcultures.yale.edu/document?id=oq06-011,136
2492,Male,1,0,0,0,0,1,0,0,0,0,.,0,0,.,1,.,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,"64, 65"
2493,Male,1,0,0,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,64
2494,Male,0,1,0,0,0,1,0,1,0,0,.,0,0,.,0,.,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,65
2495,.,.,1,.,0,0,1,0,1,0,0,.,0,0,.,0,.,.,0,"Thompson, Laura. 1940. “Southern Lau, Fiji: An Ethnography.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-002,71
2496,Male,1,1,.,0,0,0,0,0,0,0,.,0,0,.,0,1,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,85
2497,.,.,1,1,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,83
2498,.,.,1,.,0,0,.,0,0,0,0,.,0,0,.,0,.,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,86
2499,Male,.,0,1,0,0,1,0,0,0,0,.,1,0,.,0,0,0,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,"89, 90"
2500,Male,.,0,1,0,0,1,0,0,0,0,.,1,0,.,0,0,0,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,"89, 90"
2501,.,1,0,1,0,0,.,0,1,0,0,.,0,0,.,0,0,1,1,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,88
2502,Male,1,0,0,0,0,0,.,0,0,0,.,0,0,.,0,0,0,1,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,109
2503,Male,0,0,.,0,0,1,0,0,0,0,.,0,0,.,0,0,1,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,118
2504,Female,0,.,.,0,0,0,.,0,0,0,.,0,0,0,0,.,.,0,"Hocart, Arthur Maurice. 1929. “Lau Islands, Fiji.” Bulletin. Honolulu, Hawaii: Bernice P. Bishop Museum.",http://ehrafworldcultures.yale.edu/document?id=oq06-001,160
2505,Male,.,0,0,0,0,1,0,0,0,0,Jibberish,0,0,.,0,1,0,0,"St. Johnston, T. R. 1918. “Lau Islands (Fiji) And Their Fairy Tales And Folk-Lore.” London: The Times Book Co., Ltd.",http://ehrafworldcultures.yale.edu/document?id=oq06-010,"103, 104"
2506,Both sexes,.,.,.,0,0,1,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-011,39
2507,Both sexes,.,.,.,0,0,1,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-011,39
2508,Male,.,.,.,0,0,1,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-011,39
2509,Male,0,.,.,0,0,0,1,0,0,0,.,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1990. “Shifting Politics In Bedouin Love Poetry.” Language And The Politics Of Emotion, Edited By Catherine Lutz And Lila Abu-Lughod. Cambridge: Cambridge University Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-011,"39, 40"
2510,.,.,.,.,0,0,.,.,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-010,173
2511,Female,0,0,0,0,0,0,1,0,0,0,.,0,0,.,0,.,0,0,"Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-010,"171, 172, 173"
2512,Both sexes,.,.,.,0,0,1,.,0,0,0,.,0,0,0,0,.,.,0,"Abu-Lughod, Lila. 1986. “Veiled Sentiments: Honor And Poetry In A Bedouin Society.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-010,"250, 251"
2513,Female,0,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,50
2514,Male,0,.,.,0,0,0,.,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,58
2515,Female,0,.,.,0,0,1,.,0,0,0,.,0,0,0,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,79
2516,Male,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"79, 80, 81"
2517,Male,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"79, 80, 81"
2518,Male,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"79, 80, 81"
2519,Male,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"79, 80, 81"
2520,Male,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"79, 80, 81"
2521,Female,0,.,.,0,0,0,1,0,0,0,.,0,1,.,0,1,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,81
2522,Female,0,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,122
2523,Female,.,1,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"124, 125"
2524,Female,0,.,.,0,0,0,1,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,125
2525,Female,.,.,.,0,0,0,1,0,0,0,.,0,0,.,0,1,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,174
2526,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"180, 181"
2527,Female,.,0,1,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,179
2528,Both sexes,.,1,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,177
2529,Female,.,1,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"179, 180"
2530,Male,.,0,1,0,0,.,.,1,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"177, 178, 179"
2531,Female,.,1,1,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"176, 177"
2532,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,176
2533,Female,.,.,.,0,0,1,0,1,0,0,.,0,0,0,0,.,.,1,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,175
2534,Male,.,0,1,0,0,.,.,1,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"177, 178, 179"
2535,Male,.,0,1,0,0,.,.,1,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"177, 178, 179"
2536,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"180, 181"
2537,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,181
2538,Female,.,1,1,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"176, 177"
2539,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,0,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,180
2540,Female,.,1,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,184
2541,Both sexes,0,1,.,0,0,.,.,1,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,184
2542,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,184
2543,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,186
2544,Female,.,.,.,0,0,.,.,0,0,0,Jibberish,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,187
2545,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"186, 187"
2546,Female,.,1,1,0,0,1,0,1,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,188
2547,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"186, 187"
2548,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"186, 187"
2549,Female,.,.,.,0,0,.,.,0,0,0,Jibberish,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,187
2550,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,185
2551,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,"186, 187"
2552,Female,.,.,.,0,0,.,.,0,0,0,Jibberish,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,187
2553,Female,.,.,.,0,0,.,.,0,0,0,Jibberish,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,187
2554,Female,.,.,.,0,0,1,0,0,0,0,.,0,0,.,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,186
2555,Female,.,.,.,0,0,.,.,0,0,0,Jibberish,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,187
2556,Female,.,.,.,0,0,.,.,0,0,0,Jibberish,0,0,1,0,.,.,0,"Abu-Lughod, Lila. 1993. “Writing Women’S Worlds: Bedouin Stories.” Berkeley: University of California Press.",http://ehrafworldcultures.yale.edu/document?id=mt09-013,187
